Tomato Early Blight | Yellow spots on leaves | Use fungicide
Tomato Late Blight | Dark mold lesions | Copper fungicide
Tomato Leaf Mold | Yellow patches | Improve ventilation
Tomato Septoria Leaf Spot | Small circular spots | Apply fungicide
Tomato Bacterial Spot | Water-soaked lesions | Avoid overhead watering

Potato Early Blight | Brown rings on leaves | Apply fungicide
Potato Late Blight | Dark patches with white edges | Use certified seeds
Potato Scab | Rough corky tubers | Maintain soil moisture
Potato Blackleg | Black stems and rot | Use disease-free seeds
Potato Leaf Roll Virus | Leaf curling | Control aphids

Rice Blast | Diamond-shaped lesions | Reduce nitrogen fertilizer
Rice Bacterial Blight | Yellowing leaves | Use resistant varieties
Rice Brown Spot | Brown lesions | Balanced fertilizer
Rice Sheath Blight | Oval lesions | Improve spacing
Rice Tungro Virus | Yellow leaves | Control leafhoppers

Wheat Rust | Red or brown patches | Apply fungicide
Wheat Powdery Mildew | White powder on leaves | Improve airflow
Wheat Smut | Black spores | Use treated seeds
Wheat Leaf Blight | Yellow lesions | Use resistant varieties
Wheat Stripe Rust | Yellow stripes | Apply fungicide

Maize Rust | Orange pustules | Resistant hybrids
Maize Leaf Blight | Gray lesions | Apply fungicide
Maize Smut | Black galls | Remove infected parts
Maize Downy Mildew | Yellow streaks | Improve drainage
Maize Leaf Spot | Brown spots | Crop rotation

Barley Powdery Mildew | White coating | Apply fungicide
Barley Rust | Brown spots | Resistant seeds
Barley Blight | Yellow lesions | Fungicide spray
Barley Smut | Black spores | Treated seeds
Barley Stripe Disease | Yellow streaks | Use healthy seeds

Sorghum Anthracnose | Red lesions | Apply fungicide
Sorghum Rust | Orange pustules | Resistant varieties
Sorghum Downy Mildew | Yellow streaks | Improve drainage
Sorghum Grain Mold | Moldy grains | Proper drying

Millet Blast | Leaf lesions | Reduce nitrogen
Millet Smut | Black spores | Treated seeds
Millet Rust | Brown spots | Fungicide

Soybean Rust | Brown pustules | Apply fungicide
Soybean Mosaic Virus | Yellow mottling | Resistant seeds
Soybean Leaf Spot | Brown spots | Fungicide
Soybean Blight | Leaf lesions | Resistant varieties
Soybean Downy Mildew | Yellow patches | Improve airflow

Groundnut Leaf Spot | Brown spots | Fungicide
Groundnut Rust | Orange pustules | Resistant varieties
Groundnut Collar Rot | Stem rot | Soil treatment
Groundnut Tikka Disease | Leaf spots | Fungicide

Sugarcane Red Rot | Red internal tissue | Use healthy setts
Sugarcane Smut | Black whip growth | Remove infected plants
